filename,class_label,data_source
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00fcbab2.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\010aa387.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\011a2185.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0120d246.wav,Bus,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01235a12.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01257aad.wav,Scissors,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01302128.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\013264d3.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\013c3135.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01506d76.wav,Scissors,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\015cf474.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0160d55e.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01638f61.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0172a2a5.wav,Microwave_oven,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\017ea24e.wav,Burping_or_eructation,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01811e48.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0184c390.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\018863f5.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\018a10bb.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\018b1df6.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\018d1dc4.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0193042e.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01974c7c.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\019aae9d.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\019d2a2c.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01a36643.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01a39e95.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01a59a61.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01a59c11.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01a5dc85.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01b9f44a.wav,Telephone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01c2f88b.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01d2475c.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01d4dafd.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01df7ada.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01e723f5.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01ec7a01.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01ee18fd.wav,Microwave_oven,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01f2e70b.wav,Gunshot_or_gunfire,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\01fc4661.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\020eb9f6.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\021f8009.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\022092bc.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02267a1a.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02274ee8.wav,Burping_or_eructation,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\022a3507.wav,Bus,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\022cc908.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0231b9f3.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02328c03.wav,Computer_keyboard,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0236dccb.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\023d3434.wav,Microwave_oven,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0244bb9e.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\024a193f.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\024c4c6d.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\024da466.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0256c2f2.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0259e5d2.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\025f3fd2.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\025f7eac.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0262817d.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0266774c.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\027482e2.wav,Electric_piano,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\027aa77c.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\027aee2a.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\027cd3fd.wav,Meow,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0286fc27.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\029632ad.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\029b22f3.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\029ee867.wav,Gunshot_or_gunfire,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02a3243a.wav,Telephone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02ac1057.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02c095b4.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02c9a1f1.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02d367e4.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02d6b747.wav,Cough,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02d7fba3.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02dbfc78.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02e9392e.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02eed858.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\02f8e94d.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0313ea1a.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\032f7280.wav,Drawer_open_or_close,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03320f05.wav,Applause,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0338f669.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\034beca1.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\034e4ffa.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0350156b.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0356dec7.wav,Acoustic_guitar,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0356f2ab.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03586ad9.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03657d6d.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03734652.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0383c69d.wav,Chime,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0395ba61.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03a01285.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03b4aca1.wav,Meow,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03bb1c33.wav,Glockenspiel,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03bc8fbc.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03cd971f.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03d00f38.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03d42e2e.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03e13ae7.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03e88255.wav,Electric_piano,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03e9765d.wav,Drawer_open_or_close,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03ed9ba8.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03f38c68.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\03fc1f96.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04076350.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04092b14.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\041396a9.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04186a03.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04281949.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0429828b.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04330b10.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04335030.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\043a5393.wav,Electric_piano,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0446a487.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0447d04d.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04490642.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\044be615.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0450e72b.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04562f7d.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0457d8bc.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0459f90f.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04646cce.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\047b3d34.wav,Cough,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\047f5b83.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0482a372.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\048fb352.wav,Applause,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0496718e.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04a19a27.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04a7003c.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04ab05a7.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04ad9aa5.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04b4009f.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04b9a79a.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04cce777.wav,Burping_or_eructation,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04d0cae4.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04d33fe7.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04e82f46.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\04e8596a.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0508f1e3.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\051138fc.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0513cbfc.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05149415.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05173c4d.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\051f9935.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0526ac41.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\052789c8.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05309a38.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05388f6c.wav,Applause,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05561612.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0556be76.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0563ab6e.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\058b98f0.wav,Telephone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05a0ca60.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05a3154f.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05a458a7.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05b76c07.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05bc162b.wav,Gunshot_or_gunfire,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05c5ab94.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05cc4425.wav,Shatter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05d0dfa7.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05d54a68.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05d81cdf.wav,Acoustic_guitar,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05e4028a.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05ecefbe.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05ef46ec.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\05f2c2a6.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06006fca.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0609bd9e.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\060b8c30.wav,Computer_keyboard,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\060ba089.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\060ca755.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\060e13d6.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\060fab76.wav,Electric_piano,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\061cf689.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0627acfa.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0632d921.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0640c787.wav,Applause,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06487815.wav,Drawer_open_or_close,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\064cfad3.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\065e7bb4.wav,Computer_keyboard,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\066d40f4.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06712325.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06730f97.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06789937.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06896eb5.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06959969.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06a09fcd.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06a1dfc0.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06a76756.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06b278f7.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06b89bf9.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06b9dc31.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06c1c5c3.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06c48eab.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06d0d6e4.wav,Scissors,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06d164df.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06d2b52b.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06dbf664.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06dd3b18.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06e15d8e.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06e87b61.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06ed75a7.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06f60188.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06fbb272.wav,Drawer_open_or_close,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06fd1973.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\06feb8ea.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\070183b1.wav,Fireworks,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07036b1d.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0704ffb8.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\070bcdd9.wav,Violin_or_fiddle,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\070f52cb.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0713db9c.wav,Microwave_oven,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0716126b.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\071803a0.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\071e836c.wav,Microwave_oven,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\071efb95.wav,Bass_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0720ef3b.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07211dfa.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\072f3031.wav,Double_bass,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0730a3d8.wav,Acoustic_guitar,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0733ce78.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0738f99f.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0742098b.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\074cc08b.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\074e07a5.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\074e2f09.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07563fea.wav,Drawer_open_or_close,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07605b4c.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0765b7d1.wav,Harmonica,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\076b6a7a.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07762f74.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07764530.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0779162e.wav,Finger_snapping,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0784c182.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\078c67e5.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\078f7ac0.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\079968f4.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\079bb1c3.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07a16abd.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07a177eb.wav,Squeak,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07a99531.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07af4f4d.wav,Gong,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07b44e8e.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07b910ee.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07c8c909.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07ce4408.wav,Gunshot_or_gunfire,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07db7f16.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07ec6849.wav,Cough,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07ed1d56.wav,Burping_or_eructation,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07f16007.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07f6b1dc.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\07f88679.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\08064f4a.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\080bffb7.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\081a3386.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\081c263d.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\082321d2.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0832c151.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\085652af.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\085be86f.wav,Tambourine,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\086dfaff.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\086e6a35.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0879e568.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\087f12b6.wav,Cowbell,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0886c767.wav,Chime,FSD
